,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
230,Maruti,DzireVDI,683199,2018,Hyderabad,Diesel,44380,Manual,1,15197
231,Mahindra,XUV500W8 FWD,432899,2012,Hyderabad,Diesel,91966,Manual,1,9630
232,Maruti,BalenoZETA 1.2 K12,608899,2017,Hyderabad,Petrol,81150,Manual,1,13545
233,Maruti,Swift DzireVDI BS IV,426999,2013,Hyderabad,Diesel,108673,Manual,2,9498
234,Maruti,Swift DzireVXI 1.2 BS IV,314799,2011,Hyderabad,Petrol,108096,Manual,1,7003
235,Maruti,Wagon R 1.0VXI,299299,2012,Hyderabad,Petrol,105694,Manual,1,6658
236,Hyundai,Elite i20ASTA 1.4 CRDI,633199,2015,Hyderabad,Diesel,62400,Manual,1,14085
237,Hyundai,i10ERA,205599,2007,Hyderabad,Petrol,86145,Manual,2,4573
238,Maruti,SwiftVDI ABS,497999,2016,Hyderabad,Diesel,82732,Manual,2,11078
239,Nissan,MicraXV PETROL,273499,2011,Hyderabad,Petrol,95229,Manual,1,6084
240,Maruti,Vitara BrezzaVDI AMT,774399,2018,Hyderabad,Diesel,81477,Manual,2,17226
241,Maruti,Vitara BrezzaZDI,730199,2016,Hyderabad,Diesel,96093,Manual,2,16243
242,Honda,CityVX CVT PETROL,880099,2017,Hyderabad,Petrol,89362,Automatic,1,19577
243,Maruti,SX4ZXI,231499,2008,Hyderabad,Petrol,107327,Manual,1,5150
244,Maruti,S CrossZETA 1.3,850899,2018,Hyderabad,Diesel,43847,Manual,1,18928
245,Maruti,CelerioVXI,344499,2015,Hyderabad,Petrol,102472,Manual,1,7663
246,Maruti,Wagon R 1.0VXI,337699,2015,Hyderabad,Petrol,76719,Manual,1,7512
247,Maruti,A StarLXI,171599,2009,Hyderabad,Petrol,121811,Manual,2,3817
248,Mercedes,Benz C Class220 CDI ELEGANCE AT,824399,2009,Hyderabad,Diesel,65746,Automatic,2,18338
249,Hyundai,VernaFLUIDIC 1.6 SX VTVT,395999,2011,Hyderabad,Petrol,118306,Manual,1,8809
250,Maruti,Swift DzireVDI OPT,671799,2017,Hyderabad,Diesel,44069,Manual,1,14944
251,Toyota,Innova Crysta2.4 GX 8 STR,1548699,2019,Hyderabad,Diesel,187062,Manual,1,34450
252,Maruti,SwiftLDI,265299,2009,Hyderabad,Diesel,100009,Manual,1,5901
253,Maruti,Wagon R 1.0VXI,335899,2014,Hyderabad,Petrol,90978,Manual,2,7472
254,Maruti,Alto K10VXI,239999,2013,Hyderabad,Petrol,94804,Manual,1,5339
255,Hyundai,i10MAGNA 1.2 KAPPA2,240399,2011,Hyderabad,Petrol,116983,Manual,2,5348
256,Maruti,SwiftZDI +,689399,2018,Hyderabad,Diesel,85546,Manual,1,15335
257,Maruti,Swift DzireVXI 1.3,261799,2009,Hyderabad,Petrol,173278,Manual,2,5824
258,Hyundai,,855799,2018,Hyderabad,Diesel,89645,,1,19037
